game_id,platform_id
315850,3
316600,3
317320,1
317320,2
317320,3
317360,1
317360,3
317510,1
317510,2
317510,3
318100,3
320300,2
320300,3
320340,3
321160,2
321160,3
321890,3
322290,3
322330,1
322330,2
322330,3
322520,3
326180,3
328640,3
329110,3
329970,1
329970,2
329970,3
330370,3
331430,3
331470,1
331470,2
331470,3
331920,1
331920,2
331920,3
332380,3
332390,3
332400,3
332410,3
332570,1
332570,2
332570,3
333300,1
333300,2
333300,3
334270,1
334270,2
334270,3
334710,3
335190,3
335620,1
335620,2
335620,3
336240,1
336240,2
336240,3
336420,3
337000,1
337000,2
337000,3
337150,1
337150,2
337150,3
337340,1
337340,2
337340,3
337980,3
338050,1
338050,2
338050,3
338810,1
338810,2
338810,3
338820,1
338820,2
338820,3
339610,3
339740,1
339740,2
339740,3
339840,3
339850,3
340020,3
340050,3
340520,1
340520,2
340520,3
341150,1
341150,2
341150,3
342580,1
342580,2
342580,3
342610,1
342610,2
342610,3
342990,3
343000,3
345610,3
345620,3
345630,3
345660,3
346010,1
346010,2
346010,3
346330,1
346330,2
346330,3
347160,1
347160,2
347160,3
347170,3
347730,3
347800,3
347830,3
348470,3
348930,3
349240,3
349300,3
350310,3
350770,3
351090,2
351090,3
351480,1
351480,2
351480,3
351710,3
352220,2
352220,3
352550,3
352720,1
352720,2
352720,3
353270,3
353640,1
353640,2
353640,3
353940,3
354290,3
356040,1
356040,2
356040,3
356570,1
356570,2
356570,3
357780,1
357780,2
357780,3
357940,3
359320,3
359670,3
359840,3
360010,3
360430,2
360430,3
360620,1
360620,3
361420,3
362130,3
362140,3
362150,3
362620,1
362620,2
362620,3
362860,2
362860,3
363090,3
363110,3
363130,3
363150,3
363670,3
363840,3
363960,3
363970,2
363970,3
364350,3
364390,3
366690,3
368000,3
368250,3
368450,1
368450,2
368450,3
368640,3
369640,3
369990,1
369990,2
369990,3
370020,1
370020,2
370020,3
370060,2
370060,3
370130,1
370130,2
370130,3
370620,3
370640,3
370660,3
370670,3
370690,3
370700,3
370710,3
370730,3
370780,3
371100,3
371570,3
371970,1
371970,2
371970,3
372000,3
372800,1
372800,2
372800,3
373750,3
373930,1
373930,2
373930,3
374780,3
374940,3
374960,3
375450,3
375530,3
375600,1
375600,2
375600,3
376240,1
376240,2
376240,3
377860,3
378800,2
378800,3
380600,1
380600,2
380600,3
381210,3
381780,2
381780,3
383840,1
383840,2
383840,3
384030,3
384190,3
385940,3
385950,3
385960,3
386180,3
386620,1
386620,2
386620,3
386700,3
387340,3
388000,3
388060,1
388060,2
388060,3
388550,1
388550,2
388550,3
390710,3
390730,3
391180,3
391310,3
392160,1
392160,3
392920,3
392940,3
393220,3
394260,3
394310,1
394310,2
394310,3
394360,1
394360,2
394360,3
394690,3
395250,3
395400,3
395830,3
396320,3
397090,3
397540,3
397720,3
397900,2
397900,3
397950,1
397950,2
397950,3
398180,3
399140,3
399600,3
400750,3
400910,3
401890,3
402160,2
402160,3
402330,1
402330,2
402330,3
402390,1
402390,2
402390,3
402560,2
402560,3
402880,3
403190,2
403190,3
404590,1
404590,2
404590,3
404680,3
405680,1
405680,3
405900,3
406160,3
406920,3
406970,2
406970,3
407830,3
408650,1
408650,2
408650,3
408900,3
409670,2
409670,3
409690,2
409690,3
409850,3
410820,1
410820,2
410820,3
411000,2
411000,3
413410,1
413410,2
413410,3
413420,1
413420,2
413420,3
415480,3
415850,3
415910,3
416000,1
416000,3
418180,2
418180,3
418240,1
418240,2
418240,3
418270,1
418270,2
418270,3
419480,3
420440,2
420440,3
420530,1
420530,2
420530,3
420550,1
420550,2
420550,3
420740,3
421040,3
421120,2
421120,3
421810,3
422510,2
422510,3
422610,3
423230,3
423880,1
423880,2
423880,3
423890,3
424250,1
424250,2
424250,3
424280,1
424280,2
424280,3
424370,3
424840,3
424870,3
425240,1
425240,2
425240,3
427490,2
427490,3
427520,1
427520,2
427520,3
428080,3
428100,3
429300,1
429300,2
429300,3
429470,3
429570,2
429570,3
430290,3
431170,3
431450,3
431520,1
431520,2
431520,3
431700,1
431700,2
431700,3
431710,3
431950,1
431950,2
431950,3
432380,1
432380,2
432380,3
433220,3
433700,3
433950,1
433950,2
433950,3
434340,3
434680,2
434680,3
434920,3
435530,1
435530,2
435530,3
435790,3
435800,1
435800,2
435800,3
436270,3
436390,1
436390,2
436390,3
437900,3
437920,1
437920,2
437920,3
438100,3
438660,3
439250,3
440420,2
440420,3
440650,1
440650,2
440650,3
440900,3
441440,3
443110,3
444140,3
444200,2
444200,3
445000,3
445040,2
445040,3
445420,3
445430,3
445980,1
445980,2
445980,3
446020,3
446620,3
446640,3
447530,1
447530,3
448560,1
448560,2
448560,3
448840,3
449460,3
449530,1
449530,3
449710,3
449800,3
450290,3
450860,3
451340,3
451600,1
451600,2
451600,3
451780,3
451840,3
451920,3
452420,3
452440,3
454120,3
454220,1
454220,2
454220,3
454250,2
454250,3
456780,3
457140,1
457140,2
457140,3
458420,3
458430,3
459080,2
459080,3
459090,2
459090,3
459640,3
459820,1
459820,2
459820,3
460120,3
460160,3
460960,3
461340,3
461350,3
461360,3
461370,3
461380,3
461840,1
461840,2
461840,3
462770,1
462770,2
462770,3
462960,1
462960,2
462960,3
463170,3
463530,2
463530,3
463730,3
