game_id,genre_id
334270,9
334270,3
334710,10
335190,6
335190,10
335190,8
335620,8
335620,3
336240,6
336240,10
336420,1
336420,6
336420,5
336420,10
336420,11
336420,3
337000,1
337000,8
337150,10
337150,3
337340,6
337340,10
337340,8
337980,6
337980,5
337980,10
337980,8
338050,1
338050,6
338050,10
338810,10
338810,3
338810,2
338820,10
338820,3
338820,2
339610,1
339610,5
339610,7
339610,11
339610,2
339740,5
339740,10
339840,6
339840,10
339850,6
339850,10
340020,6
340020,10
340050,1
340050,6
340050,10
340050,8
340050,9
340050,3
340520,1
340520,10
341150,10
341150,8
341150,3
342580,5
342580,3
342610,10
342990,6
342990,5
342990,10
343000,6
345610,6
345610,5
345620,6
345620,5
345630,1
345630,6
345630,5
345660,4
345660,9
345660,11
346010,10
346010,9
346330,1
346330,6
346330,10
346330,2
347160,1
347160,10
347170,1
347170,6
347170,10
347170,9
347170,3
347170,12
347730,6
347730,10
347800,1
347800,6
347800,10
347800,8
347830,8
348470,1
348930,1
348930,6
348930,10
348930,8
349240,10
349240,8
349300,5
349300,9
349300,3
350310,1
350770,1
350770,10
351090,5
351480,10
351480,8
351480,3
351710,8
351710,3
352220,6
352220,8
352220,3
352550,9
352550,3
352720,10
352720,9
352720,3
353270,8
353270,3
353640,1
353640,6
353640,5
353640,10
353640,9
353640,3
353940,1
354290,1
354290,5
354290,2
354290,7
356040,10
356040,8
356040,3
356570,1
356570,10
356570,3
357780,1
357780,5
357780,10
357780,3
357940,10
357940,8
357940,3
359320,1
359320,6
359320,7
359320,8
359320,9
359320,3
359670,6
359670,5
359670,10
359670,8
359840,1
359840,10
360010,5
360010,10
360010,8
360430,1
360430,6
360620,1
360620,10
360620,2
361420,6
361420,10
362130,6
362130,5
362130,10
362130,8
362140,6
362140,5
362140,10
362140,8
362150,6
362150,5
362150,10
362150,8
362620,10
362620,9
362620,3
362620,12
362860,6
362860,10
363090,3
363110,3
363130,1
363150,9
363670,6
363670,10
363840,3
363960,8
363960,3
363970,6
363970,5
363970,10
363970,8
363970,9
363970,3
363970,2
364350,6
364350,10
364390,6
364390,10
366690,1
366690,5
366690,10
366690,9
366690,11
366690,3
368000,1
368000,10
368000,11
368250,6
368250,5
368250,10
368250,8
368450,6
368450,10
368640,6
368640,3
369640,6
369640,10
369990,10
369990,3
370020,1
370020,10
370020,8
370020,3
370060,5
370060,10
370060,9
370060,3
370130,1
370130,6
370130,10
370620,6
370620,5
370620,10
370620,8
370640,6
370640,5
370640,10
370640,8
370660,6
370660,5
370660,10
370660,8
370670,6
370670,5
370670,10
370670,8
370690,10
370690,8
370700,6
370700,5
370700,10
370700,8
370710,6
370710,5
370710,10
370710,8
370730,3
370780,6
370780,5
370780,10
370780,8
371100,1
371100,6
371100,10
371100,8
371100,9
371100,3
371570,1
371570,6
371570,5
371570,10
371570,8
371970,1
371970,6
371970,10
371970,8
372000,7
372000,8
372000,2
372800,6
372800,10
372800,7
372800,8
372800,2
372800,12
373750,1
373750,10
373750,8
373750,9
373750,12
373930,3
374780,1
374780,5
374780,10
374780,4
374780,12
374940,3
374960,3
375450,3
375530,9
375530,11
375530,3
375600,1
375600,10
376240,6
376240,10
377860,1
378800,9
378800,3
380600,7
380600,9
380600,11
380600,2
381210,1
381780,6
381780,10
381780,3
383840,1
383840,10
383840,9
384030,1
384030,6
384030,7
384030,8
384030,2
384190,6
384190,5
384190,10
384190,9
385940,3
385950,5
385950,3
385960,3
386180,1
386180,6
386180,7
386180,4
386180,2
386620,1
386620,10
386620,9
386620,3
386700,10
386700,9
386700,3
387340,1
387340,8
388000,3
388060,10
388060,3
388550,1
388550,5
388550,10
388550,3
390710,1
390710,10
390730,1
390730,10
391180,1
391180,6
391180,10
391310,1
391310,6
391310,5
391310,10
391310,9
392160,1
392160,9
392160,3
392920,6
392920,5
392920,10
392920,8
392940,6
392940,5
392940,10
392940,8
392940,3
393220,1
393220,6
393220,10
394260,1
394260,5
394260,10
394310,10
394310,8
394310,3
394360,9
394360,3
394690,1
394690,6
394690,5
394690,10
394690,7
394690,4
394690,12
395250,6
395250,10
395400,6
395400,5
395400,10
395400,8
395830,10
395830,8
395830,9
395830,3
396320,3
397090,6
397090,5
397090,10
397090,8
397540,1
397540,8
397720,9
397900,6
397900,5
397900,10
397900,7
397900,9
397900,3
397900,2
397950,1
397950,10
398180,1
398180,5
398180,10
399140,1
399140,10
399600,1
399600,10
400750,1
400750,9
400750,3
400910,1
400910,6
400910,5
400910,10
401890,1
402160,1
402160,6
402160,5
402160,10
402160,8
402160,9
402160,3
402330,1
402330,10
402390,1
402390,5
402390,10
402560,5
402560,10
402560,8
402560,9
402560,3
402560,2
402880,1
402880,6
402880,10
402880,8
403190,10
403190,9
403190,3
404590,1
404590,8
404680,1
404680,6
404680,10
405680,1
405680,6
405680,5
405680,10
405680,7
405680,8
405680,9
405680,2
405680,12
405900,8
406160,10
406160,3
406920,1
406920,6
406920,10
406970,6
406970,10
407830,1
407830,6
407830,10
408650,1
408650,6
408650,10
408900,1
408900,10
408900,3
408900,2
409670,1
409670,10
409670,2
409690,1
409690,10
409690,2
409850,8
409850,3
410820,1
410820,10
411000,6
411000,10
411000,8
413410,6
413420,6
415480,8
415480,3
415850,6
415850,5
415850,10
415910,5
415910,10
415910,3
416000,6
416000,5
416000,10
416000,8
416000,9
418180,1
418180,10
418180,8
418240,10
418240,3
418270,1
418270,6
418270,10
419480,1
419480,8
419480,9
419480,3
420440,9
420440,3
420530,6
420530,5
420530,10
420550,1
420550,5
420550,10
420550,11
420740,6
420740,8
421040,5
421040,10
421040,9
421120,6
421120,5
421120,10
421810,6
421810,5
421810,10
421810,8
421810,3
422510,1
422510,10
422610,3
423230,1
423230,10
423880,5
423880,10
